accession	assembly_name	strain	isolate	scientific_name
GCA_056393805	ASM5639380v1	10T49		Caulobacter sp. 10T49
GCA_056393825	ASM5639382v1	10T46		Caulobacter sp. 10T46
GCA_056393845	ASM5639384v1	10T48		Agrobacterium sp. 10T48
GCA_056393865	ASM5639386v1	10T45		Cupriavidus sp. 10T45
GCA_056393885	ASM5639388v1	10T44		Arthrobacter sp. 10T44
GCA_056393905	ASM5639390v1	10T430		Cupriavidus sp. 10T430
GCA_056393925	ASM5639392v1	10T429		Agrobacterium sp. 10T429
GCA_056393945	ASM5639394v1	10T427		Microbacterium sp. 10T427
GCA_056393965	ASM5639396v1	10T426		Pedobacter sp. 10T426
GCA_056393985	ASM5639398v1	10T425		Arthrobacter sp. 10T425
GCA_056394005	ASM5639400v1	10T424		Cupriavidus sp. 10T424
GCA_056394025	ASM5639402v1	10T423_2		Rhizobium sp. 10T423_2
GCA_056394045	ASM5639404v1	10T423		Achromobacter sp. 10T423
GCA_056394065	ASM5639406v1	10T422		Achromobacter sp. 10T422
GCA_056394085	ASM5639408v1	10T42		Pseudomonas sp. 10T42
GCA_056394105	ASM5639410v1	10T419		Arthrobacter sp. 10T419
GCA_056394125	ASM5639412v1	10T418		Chitinophaga sp. 10T418
GCA_056394145	ASM5639414v1	10T417		Cupriavidus sp. 10T417
GCA_056394165	ASM5639416v1	10T416		Arthrobacter sp. 10T416
GCA_056394175	ASM5639417v1	10T415		Pseudarthrobacter sp. 10T415
GCA_056394205	ASM5639420v1	10T413_2		Arthrobacter sp. 10T413_2
GCA_056394225	ASM5639422v1	10T413		Cupriavidus sp. 10T413
GCA_056394245	ASM5639424v1	10T411		Pseudomonas sp. 10T411
GCA_056394265	ASM5639426v1	10T410		Cupriavidus sp. 10T410
GCA_056394285	ASM5639428v1	10T36		Pseudomonas sp. 10T36
GCA_056394305	ASM5639430v1	10T41		Pseudomonas sp. 10T41
GCA_056394325	ASM5639432v1	10T35_2		Stenotrophomonas sp. 10T35_2
GCA_056394345	ASM5639434v1	10T33		Pseudomonas sp. 10T33
GCA_056394365	ASM5639436v1	10T31		Lysinibacillus sp. 10T31
GCA_056394385	ASM5639438v1	10N44_2		Arthrobacter sp. 10N44_2
GCA_056394405	ASM5639440v1	10N434		Leifsonia sp. 10N434
GCA_056394425	ASM5639442v1	10N44_1		Cupriavidus sp. 10N44_1
GCA_056394445	ASM5639444v1	10N433		Cupriavidus sp. 10N433
GCA_056394465	ASM5639446v1	10N432		Variovorax sp. 10N432
GCA_056394485	ASM5639448v1	10N431		Pseudomonas sp. 10N431
GCA_056394505	ASM5639450v1	10N430		Pedobacter sp. 10N430
GCA_056394525	ASM5639452v1	10N43		Arthrobacter sp. 10N43
GCA_056394545	ASM5639454v1	10N428		Allobosea sp. 10N428
GCA_056394565	ASM5639456v1	10N429		Caulobacter sp. 10N429
GCA_056394585	ASM5639458v1	10N425_2		Achromobacter sp. 10N425_2
