accession	assembly_name	strain	isolate	scientific_name
GCA_052113145	ASM5211314v1	YAF8		Bacillus sp. YAF8
GCA_052113185	ASM5211318v1	YAF41		Leifsonia sp. YAF41
GCA_052113205	ASM5211320v1	YAF38		Inquilinus sp. YAF38
GCA_052113225	ASM5211322v1	YAF4_2		Paenibacillus sp. YAF4_2
GCA_052113245	ASM5211324v1	YAF34		Arthrobacter sp. YAF34
GCA_052113265	ASM5211326v1	YAF33		Novosphingobium sp. YAF33
GCA_052113285	ASM5211328v1	YAF28		Rhizobium sp. YAF28
GCA_052113305	ASM5211330v1	YAF25		Terriglobus sp. YAF25
GCA_052113325	ASM5211332v1	YAF2_2		Janibacter sp. YAF2_2
GCA_052113345	ASM5211334v1	YAF2		Pseudarthrobacter sp. YAF2
GCA_052113365	ASM5211336v1	YAF17		Arthrobacter sp. YAF17
GCA_052113385	ASM5211338v1	YAF16		Arthrobacter sp. YAF16
GCA_052113405	ASM5211340v1	YAF12_1		Bacillus sp. YAF12_1
GCA_052113425	ASM5211342v1	YAF13		Cupriavidus sp. YAF13
GCA_052113445	ASM5211344v1	YAF11_1		Paenarthrobacter sp. YAF11_1
GCA_052113465	ASM5211346v1	TAF7		Pseudomonas sp. TAF7
GCA_052113485	ASM5211348v1	TAF61		Lysobacter sp. TAF61
GCA_052113505	ASM5211350v1	TAF60_1		Pseudarthrobacter sp. TAF60_1
GCA_052113525	ASM5211352v1	TAF43		Rhodococcus sp. TAF43
GCA_052113545	ASM5211354v1	TAF43_2		Paenibacillus sp. TAF43_2
GCA_052113585	ASM5211358v1	TAF32		Allobosea sp. TAF32
GCA_052113785	ASM5211378v1	TAF24		Phyllobacterium sp. TAF24
GCA_052113805	ASM5211380v1	TAF58		Paenibacillus sp. TAF58
GCA_052113825	ASM5211382v1	TAF1		Paenarthrobacter sp. TAF1
GCA_052113845	ASM5211384v1	TAB6		Stenotrophomonas sp. TAB6
GCA_052113865	ASM5211386v1	TAB14		Allobosea sp. TAB14
GCA_052113885	ASM5211388v1	TAB13		Lysobacter sp. TAB13
GCA_052113905	ASM5211390v1	RAF9		Paenarthrobacter sp. RAF9
GCA_052113925	ASM5211392v1	RAF57		Terrabacter sp. RAF57
GCA_052113945	ASM5211394v1	RAF54_2		Paenarthrobacter sp. RAF54_2
GCA_052113965	ASM5211396v1	RAF56		Rhizobium sp. RAF56
GCA_052113985	ASM5211398v1	RAF53_2		Pseudoduganella sp. RAF53_2
GCA_052114005	ASM5211400v1	RAF53		Marmoricola sp. RAF53
GCA_052114025	ASM5211402v1	RAF48		Allobosea sp. RAF48
GCA_052114035	ASM5211403v1	RAF52		Janibacter sp. RAF52
GCA_052114065	ASM5211406v1	RAF43		Specibacter sp. RAF43
GCA_052114085	ASM5211408v1	RAF41		Leifsonia sp. RAF41
GCA_052114105	ASM5211410v1	RAF36		Rhizobium sp. RAF36
GCA_052114125	ASM5211412v1	RAF20_2		Cupriavidus sp. RAF20_2
GCA_052114145	ASM5211414v1	RAF20_2_2		Janibacter sp. RAF20_2_2
GCA_052114165	ASM5211416v1	RAF19		Pseudoduganella sp. RAF19
GCA_052114185	ASM5211418v1	RAF14		Arthrobacter sp. RAF14
GCA_052114205	ASM5211420v1	RAF12		Cupriavidus sp. RAF12
GCA_052114225	ASM5211422v1	RAB17		Chitinophaga sp. RAB17
GCA_052114245	ASM5211424v1	PAB10		Pseudomonas sp. PAB10
GCA_052114265	ASM5211426v1	MCAF9		Paenibacillus sp. MCAF9
GCA_052114285	ASM5211428v1	PAB15		Achromobacter sp. PAB15
GCA_052114305	ASM5211430v1	MCAF7		Streptomyces sp. MCAF7
GCA_052114325	ASM5211432v1	MCAF14		Glutamicibacter sp. MCAF14
GCA_052114345	ASM5211434v1	MCAF20		Paenibacillus sp. MCAF20
GCA_052114365	ASM5211436v1	MCAB5		Agrobacterium sp. MCAB5
GCA_052114385	ASM5211438v1	M-6		Variovorax sp. M-6
GCA_052114405	ASM5211440v1	M-16		Streptomyces sp. M-16
GCA_052114425	ASM5211442v1	M-11_2		Brevundimonas sp. M-11_2
GCA_052114445	ASM5211444v1	M-11		Cupriavidus sp. M-11
GCA_052114465	ASM5211446v1	M-10		Arthrobacter sp. M-10
GCA_052114485	ASM5211448v1	KB_39		Cupriavidus sp. KB_39
GCA_052114505	ASM5211450v1	KB_33_2		Labrys sp. KB_33_2
GCA_052114525	ASM5211452v1	KB_15		Pseudomonas sp. KB_15
GCA_052114545	ASM5211454v1	KB_12		Pseudomonas sp. KB_12
GCA_052114565	ASM5211456v1	2YAF39		Mycobacterium sp. 2YAF39
GCA_052114585	ASM5211458v1	2YAF34		Pedococcus sp. 2YAF34
GCA_052114605	ASM5211460v1	2YAF29		Microvirga sp. 2YAF29
GCA_052114625	ASM5211462v1	2YAF26		Stenotrophomonas sp. 2YAF26
GCA_052114645	ASM5211464v1	2YAF22_2		Arthrobacter sp. 2YAF22_2
